,tags,Views,created,yearMonth
0,HealthShare,159,2015-10-22,Oct-2015
1,iFind,444,2015-11-09,Nov-2015
2,Dashboards,297,2015-11-10,Nov-2015
3,Caché,355,2015-11-11,Nov-2015
4,Caché,761,2015-11-16,Nov-2015
5,InterSystems Business Solutions and Architectures,548,2015-11-20,Nov-2015
6,Databases,387,2015-11-24,Nov-2015
7,Ensemble,227,2015-12-01,Dec-2015
8,Interoperability,240,2023-09-08,Sep-2023
9,InterSystems IRIS BI (DeepSee),247,2015-12-02,Dec-2015
10,Ensemble,555,2015-12-03,Dec-2015
11,System Administration,461,2015-12-04,Dec-2015
12,DC Feedback,223,2015-12-07,Dec-2015
13,HL7,324,2015-12-08,Dec-2015
14,InterSystems IRIS BI (DeepSee),243,2015-12-10,Dec-2015
15,Caché,1114,2015-12-14,Dec-2015
16,Caché,516,2015-12-15,Dec-2015
17,Business Service,855,2015-12-16,Dec-2015
18,Frontend,404,2015-12-17,Dec-2015
19,InterSystems IRIS BI (DeepSee),333,2015-12-18,Dec-2015
20,InterSystems IRIS BI (DeepSee),311,2015-12-21,Dec-2015
21,Business Process (BPL),629,2015-12-22,Dec-2015
22,Compiler,1143,2015-12-23,Dec-2015
23,ObjectScript,430,2016-01-05,Jan-2016
24,Frontend,850,2016-01-06,Jan-2016
25,Beginner,366,2016-01-07,Jan-2016
26,Data Model,240,2016-01-12,Jan-2016
27,SQL,300,2016-01-13,Jan-2016
28,Frontend,491,2016-01-14,Jan-2016
29,Unstructured Data,386,2016-01-15,Jan-2016
30,Frontend,362,2016-01-20,Jan-2016
31,Beginner,333,2016-01-21,Jan-2016
32,Development Environment,959,2016-01-22,Jan-2016
33,DC Feedback,380,2016-01-24,Jan-2016
34,Caché,1115,2016-01-25,Jan-2016
35,Ensemble,678,2016-01-26,Jan-2016
36,Caché,2121,2016-01-27,Jan-2016
37,Caché,280,2016-01-28,Jan-2016
38,Frontend,323,2016-01-29,Jan-2016
39,Development Environment,315,2016-02-01,Feb-2016
40,Object Data Model,454,2016-02-02,Feb-2016
41,Caché,268,2016-02-03,Feb-2016
42,Caché,1179,2016-02-04,Feb-2016
43,Code Snippet,1412,2016-02-05,Feb-2016
44,Caché,1129,2016-02-07,Feb-2016
45,Development Environment,362,2016-02-08,Feb-2016
46,Caché,333,2016-02-09,Feb-2016
47,Ensemble,616,2016-02-10,Feb-2016
48,Ensemble,425,2016-02-11,Feb-2016
49,Ensemble,531,2016-02-12,Feb-2016
50,Caché,459,2016-02-13,Feb-2016
51,Article,809,2016-02-15,Feb-2016
52,Article,1135,2016-02-16,Feb-2016
53,Code Snippet,1469,2016-02-17,Feb-2016
54,Languages,458,2016-02-18,Feb-2016
55,Object Data Model,1170,2016-02-19,Feb-2016
56,Release,253,2016-02-21,Feb-2016
57,Caché,1155,2016-02-22,Feb-2016
58,Ensemble,465,2016-02-23,Feb-2016
59,Authentication,1300,2016-02-24,Feb-2016
60,Object Data Model,723,2016-02-25,Feb-2016
61,Best Practices,2555,2016-02-26,Feb-2016
62,Object Data Model,1004,2016-02-28,Feb-2016
63,Mapping,1809,2016-02-29,Feb-2016
64,Caché,211,2016-03-01,Mar-2016
65,Analytics,465,2016-03-02,Mar-2016
66,Development Environment,5104,2016-03-03,Mar-2016
67,Beginner,363,2016-03-04,Mar-2016
68,Caché,833,2016-03-05,Mar-2016
69,Caché,1007,2016-03-06,Mar-2016
70,Beginner,344,2016-03-07,Mar-2016
71,Development Environment,626,2016-03-08,Mar-2016
72,Development Environment,300,2016-03-09,Mar-2016
73,Caché,487,2016-03-10,Mar-2016
74,Best Practices,3985,2016-03-11,Mar-2016
75,Caché,366,2016-03-13,Mar-2016
